"Url","Sold","Auction Date","Title","Distillery","Region","Strength","Distillery Status","Cask Type","Currency","Bulk Litres","Rla","Filling Date","Cask Filling","Previous Spirit","Regauged Date","Age","Bottles At Cask Strength","Buyer Price","Price Per Bottle At Cask Strength","Price Per Litre Of Alcohol","Country","Auction House"
"https://whiskyauctioneer.com/lot/0921-06/1-bladnoch-bourbon-barrel-cask-be-stored-bladnoch-distillery-charity-lot",TRUE,"04/10/2021","Bladnoch Bourbon Barrel","Bladnoch","Lowlands","63.4","Operational","Barrel","Great Britain Pound (£)",NA,NA,NA,NA,"Bourbon",NA,NA,NA,"5568.75",NA,NA,"Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0921-07/1-ardmore-2009-barrel-708495-cask-storage-whiskybroker",TRUE,"04/10/2021","Ardmore 2009 Barrel","Ardmore","Highlands","60.6","Operational","Barrel","Great Britain Pound (£)","154.13","93.4","01/01/2009",NA,NA,NA,"12.76","220.19","6975","28.16","74.68","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0921-08/1-glenlossie-2013-1st-fill-oloroso-quarter-cask-111153-cask-storage-whiskybroker",TRUE,"04/10/2021","Glenlossie 2013 1st Fill Oloroso Quarter Cask","Glenlossie","Speyside","63.3","Operational","Quarter Cask","Great Britain Pound (£)","100","63.3","01/01/2013","First Fill","Sherry",NA,"8.76","142.86","5175","32.2","81.75","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0921-10/1-royal-brackla-2007-hogshead-305004-cask-storage-whiskybroker",TRUE,"04/10/2021","Royal Brackla 2007 Hogshead","Royal Brackla","Highlands","60.4","Operational","Hogshead","Great Britain Pound (£)","188.74","114","01/01/2009",NA,NA,NA,"12.76","269.63","9787.5","32.27","85.86","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0821-01/1-benriach-2013-hogshead-197-cask-storage-ben-nevis-distillery",TRUE,"06/09/2021","Benriach 2013 Hogshead","Benriach","Speyside","63.4","Operational","Hogshead","Great Britain Pound (£)","162.5","103.03","09/12/2013",NA,NA,NA,"7.74","232.14","4500","17.23","43.68","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0821-02/1-aultmore-2012-barrel-800973-cask-storage-beam-suntory",TRUE,"06/09/2021","Aultmore 2012 Barrel","Aultmore","Speyside","63.4","Operational","Barrel","Great Britain Pound (£)","120.7","76.52","29/05/2012",NA,NA,NA,"9.27","172.43","4612.5","23.78","60.28","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0821-03/1-craigellachie-2012-barrel-800673-cask-storage-beam-springburn",TRUE,"06/09/2021","Craigellachie 2012 Barrel","Craigellachie","Speyside","63.4","Operational","Barrel","Great Britain Pound (£)","105.4","66.82","31/10/2012",NA,NA,NA,"8.85","150.57","4612.5","27.23","69.03","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0821-04/1-craigellachie-2010-1st-fill-oloroso-quarter-cask-900187-cask-storage-whiskybroker",FALSE,"06/09/2021","Craigellachie 2010 1st Fill Oloroso Quarter Cask","Craigellachie","Speyside","66.3","Operational","Quarter Cask","Great Britain Pound (£)","116.43","77.19","01/01/2010","First Fill","Sherry",NA,"11.68","166.33","6525","34.87","84.53","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0821-05/1-inchgower-2009-1st-fill-px-quarter-cask-803605a-cask-storage-whiskybroker",FALSE,"06/09/2021","Inchgower 2009 1st Fill PX Quarter Cask","Inchgower","Speyside","59.3","Operational","Quarter Cask","Great Britain Pound (£)","119.11","70.63","01/01/2009","First Fill",NA,NA,"12.68","170.16","5175","27.03","73.27","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/0821-06/1-teaninich-2010-1st-fill-amontillado-quarter-cask-706202-cask-storage-whiskybroker",FALSE,"06/09/2021","Teaninich 2010 1st Fill Amontillado Quarter Cask","Teaninich","Highlands","59.4","Operational","Quarter Cask","Great Britain Pound (£)","99.09","58.86","01/01/2010","First Fill","Sherry",NA,"11.68","141.56","5062.5","31.79","86.01","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/5018481/1-ardmore-2009-refill-ex-laphroaig-barrel-709384-cask-storage-whiskybroker",TRUE,"09/08/2021","Ardmore 2009 Refill ex-Laphroaig Barrel","Ardmore","Highlands","62.4","Operational","Barrel","Great Britain Pound (£)","137.98","86.1","01/01/2009","Second Fill","Scotch Whisky","01/01/2021","12.6","197.11","5568.75","25.11","64.68","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/5018482/1-blair-athol-2014-ex-caroni-barrel-311598-cask-storage-whiskybroker",TRUE,"09/08/2021","Blair Athol 2014 ex-Caroni Barrel","Blair Athol","Highlands","58.8","Operational","Barrel","Great Britain Pound (£)","128.2","75.38","01/01/2014",NA,"Rum",NA,"7.6","183.14","4950","24.03","65.67","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/5018483/1-craigellachie-2007-sherry-butt-900189-cask-storage-whiskybroker",TRUE,"09/08/2021","Craigellachie 2007 Sherry Butt","Craigellachie","Speyside","63.9","Operational","Butt","Great Britain Pound (£)","439.4","280.78","01/01/2007",NA,"Sherry","01/07/2020","14.6","627.71","22500","31.86","80.13","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/5018484/1-speyside-region-2016-refill-hogshead-8259-cask-storage-muirhall",TRUE,"09/08/2021","Speyside Region 2016 Refill Hogshead",NA,"Speyside","63.9","Operational","Hogshead","Great Britain Pound (£)","437","279.24","01/01/2016","Second Fill",NA,"01/10/2020","5.6","624.29","2362.5","3.36","8.46","Scotland","WhiskyAuctioneer"
"https://whiskyauctioneer.com/lot/5018485/1-orkney-single-malt-2005-hogshead-dru18a171-cask-storage-whiskybroker",FALSE,"09/08/2021","Orkney Single Malt 2005 Hogshead",NA,"Islands","60.06","Operational","Hogshead","Great Britain Pound (£)","28.9","17.36",NA,NA,NA,"01/05/2020",NA,"41.29","9000","193.75","518.43","Scotland","WhiskyAuctioneer"
