"auction_date","distillery","region","country","strength","rla","bulk_litres","distillery_status","cask_type","cask_filling","previous_spirit","age","bottles_at_cask_strength","volume_12m","volume_6m","volume_3m","inf_adj_hammer_price","inf_adj_hammer_price_per_bottle_at_cask_strength","inf_adj_hammer_price_per_litre_of_alcohol","inf_adj_hammer_price_per_litre_of_alcohol_per_age","inf_adj_hammer_price_per_age"
"2018-01-03","Jura","Highlands","Scotland","47.1",47.1,"121.02","Operational","Hogshead",NA,NA,26.01,172.89,14,12,7,10288.79,59.51,218.45,8.4,395.57
"2018-01-03","Jura","Highlands","Scotland","32.8",32.8,"45.22","Operational","Hogshead",NA,NA,26.01,64.6,14,12,7,768.32,11.89,23.42,0.9,29.54
"2017-10-04","Littlemill","Lowlands","Scotland","50",50,"85","Operational","Barrel",NA,"Bourbon",27.76,121.43,7,7,5,41635.8,342.88,832.72,30,1499.85
"2018-12-05","Macallan","Speyside","Scotland","48.44",48.44,"145.9","Operational","Hogshead","Third Fill",NA,28.75,208.43,26,15,7,64474.79,309.34,1331.02,46.3,2242.6
"2017-07-05","Macallan","Speyside","Scotland","55.6",55.6,"142","Operational","Hogshead","Second Fill",NA,24.51,202.86,2,2,2,75562.5,372.49,1359.04,55.45,3082.93
"2018-09-05","Macallan","Speyside","Scotland","42.4",42.4,"132","Operational","Hogshead","Second Fill",NA,29.5,188.57,27,12,8,91865.85,487.17,2166.65,73.45,3114.1
"2018-10-26","Macallan","Speyside","Scotland","49.84",49.84,"149.7","Operational","Hogshead","Third Fill",NA,29.37,213.86,29,15,10,117797.09,550.81,2363.51,80.47,4010.8
"2017-11-01","Macallan","Speyside","Scotland","60",60,"165.33","Operational","Hogshead","Second Fill",NA,22.83,236.19,10,10,5,69483.27,294.18,1158.05,50.73,3043.51
"2018-01-03","Macallan","Speyside","Scotland","61.4",61.4,"226.1","Operational","Butt","Second Fill","Sherry",22.01,323,14,12,7,224883.62,696.23,3662.6,166.41,10217.34
"2017-10-04","Macallan","Speyside","Scotland","58.9",58.9,"141.09","Operational","Hogshead","Second Fill","Sherry",23.76,201.56,7,7,5,121292.71,601.77,2059.3,86.67,5104.91
"2017-11-01","Macallan","Speyside","Scotland","58",58,"144.14","Operational","Hogshead","Second Fill",NA,22.83,205.91,10,10,5,69483.27,337.44,1197.99,52.47,3043.51
"2018-02-07","Macallan","Speyside","Scotland","52.75",52.75,"180","Operational","Hogshead","Second Fill","Sherry",29.03,257.14,20,15,10,322086.75,1252.57,6105.91,210.33,11094.96
"2018-01-03","Macallan","Speyside","Scotland","50.02",50.02,"168.4","Operational","Hogshead","Third Fill","Sherry",28.01,240.57,14,12,7,180521.55,750.39,3608.99,128.85,6444.9
"2017-07-05","Macallan","Speyside","Scotland","53.3",53.3,"101","Operational","Hogshead","Second Fill","Sherry",24.51,144.29,2,2,2,71101.74,492.77,1333.99,54.43,2900.93
"2017-10-04","Macallan","Speyside","Scotland","60.5",60.5,"186.45","Operational","Hogshead","Second Fill","Sherry",23.76,266.36,7,7,5,109913.15,412.65,1816.75,76.46,4625.97
"2025-04-02","Miltonduff","Speyside","Scotland","61.27",61.27,"189.24","Operational",NA,NA,NA,13.94,270.34,134,67,41,3532.92,13.07,57.66,4.14,253.44
"2018-10-03","Tobermory","Highlands","Scotland","53.5",53.5,"177","Operational","Hogshead","First Fill",NA,22.28,252.86,29,15,10,16604.03,65.66,310.36,13.93,745.24
"2019-06-05","Tobermory","Highlands","Scotland","54.2",54.2,"196","Operational","Hogshead",NA,NA,23.5,280,26,11,5,16807.23,60.03,310.1,13.2,715.2
"2023-03-22","Tobermory","Highlands","Scotland","50.5",50.5,"204.2","Operational","Butt",NA,NA,28.75,291.71,52,11,2,50432.12,172.88,998.66,34.74,1754.16
"2018-09-05","Tobermory","Highlands","Scotland","56",56,"171","Operational","Hogshead","First Fill",NA,23.73,244.29,27,12,8,22377.58,91.6,399.6,16.84,943.01
"2018-09-05","Tobermory","Highlands","Scotland","49.7",49.7,"323","Operational","Butt","First Fill",NA,24.21,461.43,27,12,8,33500.94,72.6,674.06,27.84,1383.76
"2018-12-05","Tullibardine","Highlands","Scotland","58.4",58.4,"215","Operational","Hogshead",NA,"Sherry",13.48,307.14,26,15,7,6903.36,22.48,118.21,8.77,512.12
"2017-11-01","Tullibardine","Highlands","Scotland","57.09",57.09,"153.4","Operational",NA,NA,"Bourbon",11.83,219.14,10,10,5,3067.4,14,53.73,4.54,259.29
"2017-09-06","Tullibardine","Highlands","Scotland","59",59,"168","Operational","Barrel",NA,"Bourbon",10.68,240,6,6,5,4958.21,20.66,84.04,7.87,464.25
"2018-12-05","Tullibardine","Highlands","Scotland","57.7",57.7,"148.2","Operational","Barrel",NA,"Bourbon",13.53,211.71,26,15,7,4037.82,19.07,69.98,5.17,298.43
"2025-11-23","Annandale","Lowlands","Scotland","63.5",160.4,"252.6","Operational","Hogshead",NA,NA,4.89,360.86,78,12,1,2025,5.61,12.62,2.58,414.11
"2025-11-23","Annandale","Lowlands","Scotland","63.5",126.17,"198.7","Operational","Barrel",NA,"Bourbon",4.89,283.86,78,12,1,1375,4.84,10.9,2.23,281.19
"2022-02-27","Ardmore","Highlands","Scotland","58.4",82.34,"141","Operational","Barrel","Second Fill",NA,21.16,201.43,85,59,25,53306.35,264.64,647.39,30.6,2519.2
"2025-06-22","Ardmore","Highlands","Scotland","57.6",92.62,"160.8","Operational","Barrel","Second Fill","Bourbon",14.47,229.71,131,61,22,2309.94,10.06,24.94,1.72,159.64
"2025-11-23","Ardmore","Highlands","Scotland","67.8",170.52,"251.5","Operational","Hogshead",NA,NA,4.89,359.29,78,12,1,1725,4.8,10.12,2.07,352.76
"2024-05-26","Ardmore","Highlands","Scotland","58.2",95.27,"163.7","Operational","Barrel","Second Fill","Bourbon",13.4,233.86,77,59,13,6250.93,26.73,65.61,4.9,466.49
"2021-03-28","Arran","Highlands","Scotland","57.8",101.15,"175","Operational","Barrel",NA,"Bourbon",12.24,250,95,65,28,9053.47,36.21,89.51,7.31,739.66
"2022-04-24","Arran","Highlands","Scotland","52.1",73.93,"141.9","Operational","Barrel",NA,"Bourbon",17.31,202.71,97,63,33,23482.5,115.84,317.63,18.35,1356.59
"2021-01-03","Aultmore","Speyside","Scotland","60.2",32.77,"54.44","Operational","Octave","First Fill","Sherry",10.01,77.77,79,61,38,2847.59,36.62,86.9,8.68,284.47
"2025-06-22","Aultmore","Speyside","Scotland","61.4",138.95,"226.3","Operational","Hogshead",NA,NA,8.47,323.29,131,61,22,3012.96,9.32,21.68,2.56,355.72
"2021-10-24","Ben Nevis","Highlands","Scotland","52.6",60.02,"114.1","Operational","Hogshead","Second Fill",NA,25.81,163,99,34,24,30699.82,188.34,511.49,19.82,1189.45
"2023-09-24","Ben Nevis","Highlands","Scotland","55.4",81.11,"146.4","Operational","Hogshead","Second Fill",NA,25.73,209.14,37,26,9,31704.55,151.59,390.88,15.19,1232.2
"2023-08-27","Ben Nevis","Highlands","Scotland","51",51.71,"101.4","Operational","Barrel",NA,NA,25.65,144.86,32,21,4,23480.2,162.09,454.07,17.7,915.41
"2021-09-26","Ben Nevis","Highlands","Scotland","51.6",100.62,"195","Operational","Hogshead",NA,NA,25.74,278.57,98,33,18,43438.61,155.93,431.71,16.77,1687.59
"2022-02-27","Ben Nevis","Highlands","Scotland","47.2",70.65,"149.69","Operational","Barrel",NA,"Bourbon",18.16,213.84,85,59,25,15058.29,70.42,213.14,11.74,829.2
"2023-02-26","Ben Nevis","Highlands","Scotland","49.5",77.52,"156.6","Operational","Hogshead",NA,NA,27.15,223.71,66,11,2,45263.88,202.33,583.9,21.51,1667.18
"2022-01-02","Ben Nevis","Highlands","Scotland","43.2",79.33,"183.64","Operational","Hogshead",NA,NA,34,262.34,91,54,30,33994.78,129.58,428.52,12.6,999.85
"2021-11-28","Ben Nevis","Highlands","Scotland","50.5",74.59,"147.7","Operational","Hogshead",NA,NA,25.91,211,99,42,34,38377.73,181.88,514.52,19.86,1481.19
"2021-08-29","Benriach","Speyside","Scotland","61.7",265.93,"431","Operational","Butt",NA,"Sherry",6.66,615.71,91,26,8,9084.3,14.75,34.16,5.13,1364.01
"2025-11-23","Benrinnes","Speyside","Scotland","57.59",67.1,"116.51","Operational","Barrel",NA,NA,16.89,166.44,78,12,1,3200,19.23,47.69,2.82,189.46
"2025-11-23","Blair Athol","Highlands","Scotland","61",110,"180.32","Operational","Barrel",NA,NA,4.89,257.6,78,12,1,2000,7.76,18.18,3.72,409
"2025-04-27","Blue Hill (Craigellachie)","Speyside","Scotland","59.7",97.49,"163.3",NA,"Barrel",NA,NA,9.32,233.29,134,67,41,3684.33,15.79,37.79,4.05,395.31
"2020-10-25","Bowmore","Islay","Scotland","43.7",75.6,"173","Operational","Hogshead",NA,NA,33.82,247.14,46,30,23,82728.23,334.74,1094.29,32.36,2446.13
"2025-11-23","Bowmore","Islay","Scotland","57.8",17,"29.41","Operational","Barrel",NA,NA,24.89,42.01,78,12,1,4650,110.69,273.53,10.99,186.82
"2025-09-28","Bruichladdich","Islay","Scotland","53.4",66.75,"125","Operational","Barrel",NA,"Bourbon",20.74,178.57,112,28,6,10114.5,56.64,151.53,7.31,487.68
"2023-04-30","Bruichladdich","Islay","Scotland","59.6",97.15,"163","Operational","Barrel",NA,"Bourbon",13.33,232.86,47,15,9,27012.08,116,278.05,20.86,2026.41
"2022-04-24","Bruichladdich","Islay","Scotland","57.7",99.82,"173","Operational","Hogshead",NA,"Bourbon",19.31,247.14,97,63,33,38071.88,154.05,381.41,19.75,1971.61
"2021-11-28","Bruichladdich","Islay","Scotland","59.3",105.55,"178","Operational",NA,NA,"Bourbon",11.91,254.29,99,42,34,20224.45,79.53,191.61,16.09,1698.11
"2023-10-29","Bruichladdich","Islay","Scotland","58.6",98.04,"167.3","Operational","Barrel","First Fill","Bourbon",12.82,239,36,21,10,24306.82,101.7,247.93,19.34,1896.01
"2021-01-24","Bruichladdich","Islay","Scotland","56.2",107.34,"191","Operational","Hogshead",NA,"Sherry",15.06,272.86,79,61,38,33275.23,121.95,310,20.58,2209.51
"2023-04-30","Bruichladdich","Islay","Scotland","59.7",103.28,"173","Operational","Barrel","First Fill","Bourbon",13.33,247.14,47,15,9,22465.49,90.9,217.52,16.32,1685.33
"2021-05-30","Bruichladdich","Islay","Scotland","62.4",95.47,"153","Operational",NA,NA,"Bourbon",16.41,218.57,95,57,18,19137.18,87.56,200.45,12.22,1166.19
"2023-10-29","Bunnahabhain","Islay","Scotland","60.4",93.92,"155.5","Operational","Barrel",NA,NA,10.82,222.14,36,21,10,10251.14,46.15,109.15,10.09,947.43
"2021-07-25","Caol Ila","Islay","Scotland","45.7",87.29,"191","Operational","Hogshead",NA,NA,31.56,272.86,98,37,10,63295.15,231.97,725.11,22.98,2005.55
"2020-04-26","Craigellachie","Speyside","Scotland","64.9",137.59,"212","Operational","Hogshead","First Fill","Sherry",12.32,302.86,27,16,11,11828.57,39.06,85.97,6.98,960.11
